feature	r2_score	p_value	cell_count_coef	plate_coef	Null_coef	WT_coef	corrected_p_value	critical_threshold	neg_log_p	compartment
Cytoplasm_Granularity_10_RFP	0.0037617125664257	0.1003252629539767	0.0035668092075674	-0.0547577118054782	0.0002926773188153	-0.0002926773188156	0.1270203165644132	0.0496009624900629	0.896126809231911	actin
Cytoplasm_Granularity_11_RFP	0.0083140810700031	0.0017553507473393	0.0020349194384395	-0.0152096139187058	0.0661476342826508	-0.0661476342826508	0.00285829203038	0.0496009624900629	2.543893401611021	actin
Cytoplasm_Granularity_12_RFP	0.0170346819190725	3.793612946001446e-07	-0.0086265789374558	0.1743870117677087	0.1719627433359708	-0.1719627433359696	8.636048294720938e-07	0.0496009624900629	6.06368493765877	actin
Cytoplasm_Granularity_13_RFP	0.0165343642920898	6.230874355361848e-07	-0.0013168894588963	0.0558714466217581	0.1466440481927371	-0.1466440481927365	1.3992350341537925e-06	0.0496009624900629	5.854109329494796	actin
Cytoplasm_Granularity_14_RFP	0.0098501891702583	0.0004140812515598	0.0048833782463788	-0.0696969351968968	0.0221031201207769	-0.0221031201207772	0.0007182589532842	0.0496009624900629	3.143718951708868	actin
Cytoplasm_Granularity_15_RFP	0.034125533803847	1.0436096431476471e-14	-0.0117844982540997	0.2411427339495568	0.2469237178768606	-0.2469237178768588	3.6060440348048167e-14	0.0496009624900629	13.442968974242577	actin
Cytoplasm_Granularity_16_RFP	0.0053252103386409	0.0264527395149072	-0.0011101117449085	0.0381216351097182	0.0866696542894571	-0.0866696542894567	0.0365827648580458	0.0496009624900629	1.4367234744414588	actin
Cytoplasm_Granularity_1_RFP	0.0797662447888054	1.1102230246251563e-16	0.0128883932375536	-0.2919905507118198	-0.3863669662163332	0.3863669662163309	4.0280279112181464e-16	0.0496009624900629	15.394907528772336	actin
Cytoplasm_Granularity_2_RFP	0.0265761238729764	2.5021873462094387e-11	0.0055619175677227	-0.0646411039510882	0.0858438944240999	-0.0858438944241001	7.190691853834551e-11	0.0496009624900629	10.143229321877568	actin
Cytoplasm_Granularity_3_RFP	0.0247453188850123	1.6195356167258979e-10	0.0058182685634424	-0.0713392817216137	0.0744939196170529	-0.0744939196170531	4.434624648629168e-10	0.0496009624900629	9.35314313342588	actin
Cytoplasm_Granularity_4_RFP	0.0237508762052655	4.450164681202296e-10	0.0064129908206857	-0.0842132596546174	0.0591334779903649	-0.0591334779903652	1.1795984463186907e-09	0.0496009624900629	8.928265808140978	actin
Cytoplasm_Granularity_5_RFP	0.0152669315254935	2.179214255049189e-06	0.0056152854233033	-0.0771713489077849	0.0376466898321505	-0.0376466898321508	4.676650185050108e-06	0.0496009624900629	5.330065114244632	actin
Cytoplasm_Granularity_6_RFP	0.0135583503755253	1.163737040010826e-05	0.0050243723061764	-0.0672611482336932	0.041049393082168	-0.0410493930821682	2.378694900444664e-05	0.0496009624900629	4.623661258488416	actin
Cytoplasm_Granularity_7_RFP	0.0068161411470623	0.006973486447476	0.0014019186773225	-0.0053777353069579	0.0665650786828842	-0.066565078682884	0.0106529181125259	0.0496009624900629	1.9725314113261163	actin
Cytoplasm_Granularity_8_RFP	0.0091773954485366	0.0007819895285646	0.001378595879782	-0.00155702630656	0.0808152695319881	-0.0808152695319879	0.0013138782093539	0.0496009624900629	2.881444890070697	actin
Cytoplasm_Granularity_9_RFP	0.0118764346599471	5.95448596415471e-05	0.0020014519906748	-0.009960290523731	0.0856360697971641	-0.085636069797164	0.0001120447034746	0.0496009624900629	3.950608668411528	actin
Cytoplasm_Intensity_IntegratedIntensityEdge_RFP	0.0410414795005028	1.1102230246251563e-16	0.0024254421868306	-0.0942501363970267	-0.2344703644148723	0.2344703644148713	4.0280279112181464e-16	0.0496009624900629	15.394907528772336	actin
Cytoplasm_Intensity_IntegratedIntensity_RFP	0.0783838235819537	1.1102230246251563e-16	-0.0059602684243162	0.0411874016199504	-0.2075817341685001	0.2075817341684998	4.0280279112181464e-16	0.0496009624900629	15.394907528772336	actin
Cytoplasm_Intensity_LowerQuartileIntensity_RFP	0.0117074913163893	7.008198051117187e-05	0.0080573271541586	-0.1388208934280313	-0.0615911889616559	0.061591188961655	0.0001310228331295	0.0496009624900629	3.882653013977188	actin
Cytoplasm_Intensity_MADIntensity_RFP	0.0120110505928773	5.2287397473871344e-05	0.0063345186776424	-0.096996550023088	0.0015532221785253	-0.0015532221785258	9.951748929043382e-05	0.0496009624900629	4.002100589255595	actin
Cytoplasm_Intensity_MassDisplacement_RFP	0.0068526086027598	0.0067459980964077	-0.0063225542477175	0.1111022845202778	0.0572621905582353	-0.0572621905582346	0.0103325907518857	0.0496009624900629	1.985790771589916	actin
