feature	r2_score	p_value	cell_count_coef	plate_coef	Null_coef	WT_coef
Cytoplasm_AreaShape_Area	0.18474653920991335	1.1102230246251565e-16	-0.014366895583179384	0.16455192415455927	-0.23170835918151744	0.23170835918151778
Cytoplasm_AreaShape_BoundingBoxArea	0.17189193243211054	1.1102230246251565e-16	-0.016323544414939307	0.20781946368794818	-0.17741893610840856	0.1774189361084092
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.0006686522828195374	0.8477981783245556	-0.00020982393246391827	-0.002611737414587152	-0.02402534842193505	0.024025348421934985
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.004623520471195297	0.04861314077390888	-0.0009847817393303932	0.0012232505317791575	-0.05727241082936399	0.05727241082936387
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.006643417228757387	0.008157038547171647	0.0038512013186171377	-0.0539343420742183	0.02167513974965026	-0.021675139749650487
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.0065068094079506755	0.009230214384759461	0.00481213451282194	-0.07467209079560387	-0.0028819431758143124	0.0028819431758139308
Cytoplasm_AreaShape_Center_X	0.0008253840774573584	0.790237195752141	0.0017318404680637819	-0.026991759598672196	-0.00152286257861017	0.0015228625786100278
Cytoplasm_AreaShape_Center_Y	0.0006476256396724667	0.8552666776527195	0.0018503618710664477	-0.03598224063554693	-0.03102832323811212	0.031028323238111867
Cytoplasm_AreaShape_Compactness	0.0037210957930179367	0.1037319371043417	0.004257913124454014	-0.08431896166431146	-0.07765357386835678	0.0776535738683562
Cytoplasm_AreaShape_ConvexArea	0.17982532454241573	1.1102230246251565e-16	-0.015633316704335737	0.19129038444518412	-0.20178093241798328	0.2017809324179838
Cytoplasm_AreaShape_Eccentricity	0.004410350060662371	0.05830630055513919	-0.004982139383815284	0.0952028627189675	0.07662923769481841	-0.07662923769481776
Cytoplasm_AreaShape_EquivalentDiameter	0.1494028496298394	1.1102230246251565e-16	-0.013932887661676883	0.16805131059321238	-0.1898453524123195	0.18984535241231992
Cytoplasm_AreaShape_EulerNumber	0.001101561345625779	0.6857490404406357	0.0024104555849951514	-0.044024588888653085	-0.028692996185100357	0.028692996185100066
Cytoplasm_AreaShape_Extent	0.010328495037530416	0.00026280138242185114	-0.0020499702462758434	0.012781197306802189	-0.07709512873755808	0.07709512873755797
Cytoplasm_AreaShape_FormFactor	0.0051660518090178575	0.03040574483600289	-0.005589818784788794	0.10276991017516758	0.06932684755362556	-0.06932684755362487
Cytoplasm_AreaShape_MajorAxisLength	0.12473749755865948	1.1102230246251565e-16	-0.01623183353864438	0.22430666790882142	-0.10375595998225381	0.10375595998225472
Cytoplasm_AreaShape_MaxFeretDiameter	0.13582702830372229	1.1102230246251565e-16	-0.015693436821142704	0.208634455148764	-0.13419750390414664	0.13419750390414742
Cytoplasm_AreaShape_MaximumRadius	0.1168327128685529	1.1102230246251565e-16	-0.013228504768089028	0.16673326314309245	-0.15070398435580012	0.15070398435580062
Cytoplasm_AreaShape_MeanRadius	0.11640369081620916	1.1102230246251565e-16	-0.013266275613819548	0.1676720889026541	-0.14922959482847814	0.14922959482847867
Cytoplasm_AreaShape_MedianRadius	0.11775107386397887	1.1102230246251565e-16	-0.013351006949437685	0.16880369669042444	-0.1499329201906602	0.14993292019066073
Cytoplasm_AreaShape_MinFeretDiameter	0.14570799655408517	1.1102230246251565e-16	-0.012903500759889842	0.14898974125779602	-0.20317230066823588	0.2031723006682362
Cytoplasm_AreaShape_MinorAxisLength	0.14568815204182783	1.1102230246251565e-16	-0.01171497300810986	0.1256130097232725	-0.2241913595616944	0.2241913595616945
Cytoplasm_AreaShape_Orientation	0.00011232417337903033	0.993789681225094	-0.0008252930461758963	0.015078370132820918	0.00984536023256886	-0.009845360232568757
Cytoplasm_AreaShape_Perimeter	0.13717574847089586	1.1102230246251565e-16	-0.010833583190902659	0.111447221849869	-0.2267313332606949	0.22673133326069494
Cytoplasm_AreaShape_Solidity	0.01637981962202517	7.261393928370552e-07	-0.0044779741052228105	0.05295541845348736	-0.0653603140505073	0.06536031405050742
Cytoplasm_AreaShape_Zernike_0_0	0.011439088937936548	9.074874710390812e-05	-0.0004049954243073187	-0.01934675273346631	-0.10525426512650221	0.10525426512650188
Cytoplasm_AreaShape_Zernike_1_1	0.005596581406647094	0.020829660673047035	-0.00030829971541755294	-0.013072592528001317	-0.07331222170092558	0.07331222170092534
Cytoplasm_AreaShape_Zernike_2_0	0.027911489803901013	6.3754557189099614e-12	-0.0037495390128448793	0.02827167255498375	-0.1208690817252653	0.12086908172526517
Cytoplasm_AreaShape_Zernike_2_2	0.001321453572769915	0.6045612850898732	-0.002818920183897007	0.052186560187874535	0.036443620720813766	-0.03644362072081342
Cytoplasm_AreaShape_Zernike_3_1	5.495999858551315e-07	0.9999998395215051	-4.9533755058258953e-05	0.0009974538229946088	0.0009714589025408957	-0.0009714589025408884
Cytoplasm_AreaShape_Zernike_3_3	0.00031945520938991834	0.9563082435525218	-0.0013852221551404306	0.02567059924298695	0.01801561614894007	-0.0180156161489399
Cytoplasm_AreaShape_Zernike_4_0	0.0027762270130549105	0.22003256070437405	0.0040300380514377235	-0.07091489295095138	-0.03690084874195006	0.036900848741949606
Cytoplasm_AreaShape_Zernike_4_2	0.004051373007551873	0.07889856864035405	-0.004465972918278303	0.07442874211648193	0.023782013299101415	-0.02378201329910099
Cytoplasm_AreaShape_Zernike_4_4	0.003137681995709074	0.16605046030928194	-0.0030562606489673567	0.06566326453041352	0.07689643374231767	-0.07689643374231717
Cytoplasm_AreaShape_Zernike_5_1	0.0010675082288147397	0.6985940560612804	0.0024913675211216168	-0.047039312956034855	-0.03598212694359602	0.03598212694359569
Cytoplasm_AreaShape_Zernike_5_3	0.0011295617537078195	0.6752267302181656	-0.00209974631145622	0.043262931116291176	0.04521666277577188	-0.04521666277577155
Cytoplasm_AreaShape_Zernike_5_5	0.0005966185987893446	0.8730362010730379	0.0018503474668604045	-0.03511948725382365	-0.027478189453467274	0.02747818945346703
Cytoplasm_AreaShape_Zernike_6_0	0.0022850810579421177	0.3175609369441468	0.0033749300870345154	-0.06651657454357736	-0.060246362267949514	0.06024636226794903
Cytoplasm_AreaShape_Zernike_6_2	2.970658701462181e-05	0.9995404325247685	0.0001860767220049336	-0.002163602814667448	0.002867824038275239	-0.0028678240382752434
Cytoplasm_AreaShape_Zernike_6_4	0.007918293552767297	0.0025352718563537158	-0.006839721077140726	0.12816145103295765	0.09475557652661619	-0.09475557652661531
Cytoplasm_AreaShape_Zernike_6_6	0.0011181228145985544	0.6795205828221265	-0.0017575224654418577	0.03818270864745717	0.04595928648884736	-0.04595928648884706
