Features	HET	Null	WT	Overall
Cells_Texture_InfoMeas1_DAPI_3_03_256	0.23799431926138312	0.17662247067341807	0.03805165758341559	0.1508894825060723
Cytoplasm_Texture_InfoMeas1_DAPI_3_02_256	0.2330833975362902	0.09414878370870969	0.06153731982905915	0.129589833691353
Cytoplasm_Texture_InfoMeas1_DAPI_3_00_256	0.19099456859608543	0.109227963537787	0.05127577241596228	0.11716610151661157
Cells_Texture_Entropy_DAPI_3_02_256	0.08901261974838255	0.11723852794734185	0.1329946104674631	0.11308191938772916
Cytoplasm_Intensity_MeanIntensityEdge_DAPI	0.04295221769558712	0.09507966553518452	0.026248136411870408	0.05476000654754735
Cytoplasm_Texture_InfoMeas2_DAPI_3_03_256	0.04248095795060293	-0.04219049396342427	0.0514383859094729	0.01724294996555052
Cells_Texture_InfoMeas2_DAPI_3_00_256	0.03755684957788341	-0.016904422489156856	-0.009228294363459746	0.003808044241755603
Cytoplasm_Correlation_Correlation_CY5_DAPI	0.029773861745937602	0.004435673708918994	0.005410059451984919	0.013206531635613838
Cytoplasm_Correlation_K_RFP_DAPI	0.02865148446094738	0.0006595838690002148	0.02133238091053134	0.01688114974682631
Cytoplasm_Correlation_Costes_DAPI_RFP	0.02613557619654165	-0.00038839226107862095	0.009342649939306393	0.011696611291589809
Cells_Intensity_MeanIntensityEdge_DAPI	0.0255618129709293	0.0526779926046137	0.0693264690028308	0.04918875819279126
Cytoplasm_Texture_Correlation_DAPI_3_01_256	0.02144461105353939	-0.0034531800258484065	0.05222797872496487	0.02340646991755195
Cells_Correlation_Overlap_CY5_GFP	0.020904508696898787	0.002139588023483436	-0.003010159643142704	0.006677979025746506
Cytoplasm_Granularity_1_DAPI	0.020885181920519625	-0.008956457169515089	0.02362852246659569	0.011852415739200076
Cytoplasm_Texture_Correlation_DAPI_3_03_256	0.020736662045505734	-0.007912097260822766	0.03570560842334755	0.01617672440267684
Cytoplasm_Intensity_UpperQuartileIntensity_DAPI	0.01909798938740352	0.007156837830150291	0.06719582411017422	0.03115021710924268
Nuclei_Intensity_MinIntensity_DAPI	0.015261963651539355	0.0062034564533199645	0.04065858823523115	0.020708002780030158
